순위,섹터,종목코드,종목명,시가총액(단위:백만원),자산총액(단위:백만원),시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장주식수,PBR,PBR 산출시점,최근 5개 사업연도 평균 PBR,`23 사업연도말 PBR,`22 사업연도말 PBR,`21 사업연도말 PBR,`20 사업연도말 PBR,`19 사업연도말 PBR,PER,PER 산출시점,최근 5개 사업연도 평균 PER,`23 사업연도말 PER,`22 사업연도말 PER,`21 사업연도말 PER,`20 사업연도말 PER,`19 사업연도말 PER,ROE,ROE 산출시점,최근 5개 사업연도 평균 ROE,`23 사업연도말 ROE,`22 사업연도말 ROE,`21 사업연도말 ROE,`20 사업연도말 ROE,`19 사업연도말 ROE,배당성향,배당성향 산출시점,최근 5개 사업연도 평균 배당성향,`23 사업연도말 배당성향,`22 사업연도말 배당성향,`21 사업연도말 배당성향,`20 사업연도말 배당성향,`19 사업연도말 배당성향,배당수익률,배당수익률 산출시점,최근 5개 사업연도 평균 배당수익률,`23 사업연도말 배당수익률,`22 사업연도말 배당수익률,`21 사업연도말 배당수익률,`20 사업연도말 배당수익률,`19 사업연도말 배당수익률,비고
544,소재,298050,효성첨단소재,1173746,3276657,KOSPI,-,289500,-4500,-1.53,297500,298500,284000,22715,6551682000,4479948,0.99,2024-06,0.63,0.69,0.68,0.56,0.49,0.72,8.09,45444,8.56,5.76,4.91,7.17,9.89,15.08,12.24,45444,8.25,12.73,11.64,7.09,4.96,4.85,37.4,45261,44.95,37.4,36.15,45.46,49.55,56.2,6.08,45261,5.42,6.08,6.9,5.94,4.69,3.49,-
559,소재,357780,솔브레인,1579049,1098837,KOSDAQ,우량기업부,222000,-4000,-1.77,228000,229500,222000,18120,4057773000,7778566,0.19,2024-06,0.24,0.2,0.2,0.24,0.24,0.3,9.97,45444,8.81,6.59,1.8,8.09,15.78,11.81,1.93,45444,4.34,3.06,11.47,3.08,1.52,2.55,27.08,45261,27.76,27.08,14.67,23.62,36.54,36.89,4.11,45261,4.12,4.11,8.16,2.92,2.31,3.13,-
1405,에너지,010950,S-Oil,6619868,21935920,KOSPI,-,61200,100,0.16,61800,62400,61200,181647,11194343400,112582792,0.27,2024-06,0.25,0.22,0.22,0.27,0.26,0.25,8.57,45444,9.75,8.17,21.8,3.59,6.14,9.05,3.23,45444,3.77,2.73,1.04,7.95,4.34,2.8,19.68,45261,23.12,19.68,52.53,7.2,13.96,22.23,2.41,45261,2.31,2.41,2.41,2,2.27,2.46,-
1267,자유소비재,000270,기아,38026535,86045857,KOSPI,-,99900,-4900,-4.68,105700,105800,99900,1408649,142965806100,399858417,0.25,2024-06,0.43,0.23,0.23,0.52,0.63,0.52,-,45444,7.57,5,1.51,2.22,9.92,19.2,-,45444,8.98,3.52,14.4,20.29,4.61,2.09,19.38,45261,27.8,19.38,6.28,7.18,33.27,72.88,2.91,45261,2.7,2.91,2.92,2.39,2.47,2.8,-
1507,자유소비재,005380,현대차,49108097,306927591,KOSPI,-,244000,-10500,-4.13,255500,256000,244000,1032595,254522116000,209416191,0.83,2024-06,1.36,0.94,1.04,1.48,1.49,1.86,303.58,45444,-,-,-,-,68.04,-,0.28,45444,-,-,-,-,2.22,-,-,45261,-,-,-,-,0,-,0,45261,0,0,0,0,0,0,-
1300,자유소비재,005850,에스엘,1560670,3546779,KOSPI,-,35450,800,2.31,34800,35650,34650,124066,4377189750,46448520,0.65,2024-06,0.7,0.67,0.61,0.9,0.74,0.59,-,45444,-,11.82,-,13.38,6.26,-,-,45444,-,5.83,-,6.87,12.93,-,26.73,45261,-,26.73,-,22.19,13.46,-,2.26,45261,2.23,2.26,2.66,1.66,2.1,2.5,-
803,자유소비재,021240,코웨이,4900295,5090337,KOSPI,-,66700,-1800,-2.63,69800,69900,66300,184069,12380182300,73799619,0.12,2024-06,0.21,0.14,0.24,0.32,0.24,0.13,19.7,45444,-,-,0.75,286.46,5.76,-,0.63,45444,-,-,38.04,0.11,4.35,-,-,45261,-,-,1.69,0,0,-,0,45261,0.45,0,2.25,0,0,0,-
1108,자유소비재,081660,휠라홀딩스,2451910,5344824,KOSPI,-,42250,-1400,-3.21,44400,44450,42150,143926,6154864450,60095839,0.42,2024-06,0.58,0.42,0.43,0.58,0.65,0.81,9.15,45444,12.84,8.76,12.13,2.98,8.11,32.24,4.66,45444,8.08,4.9,3.53,21.36,8.09,2.54,50.72,45261,43.91,50.72,71.56,19.64,12.04,65.59,5.79,45261,4.1,5.79,5.9,4.4,2.4,2.03,-
1109,자유소비재,105630,한세실업,632400,1395794,KOSPI,-,16000,90,0.57,16140,16230,15830,121753,1951683980,40000000,1.12,2024-06,1.98,1.41,0.99,2.86,2.79,1.86,9.46,45444,9.4,9.4,2.9,9.95,13.31,11.43,12.35,45444,26.01,15.65,40.59,33.35,23.07,17.4,9.17,45261,9.84,9.17,10.16,6.17,9.16,14.53,0.99,45261,1.41,0.99,3.5,0.62,0.69,1.27,-
1170,자유소비재,215000,골프존,415432,668678,KOSDAQ GLOBAL,우량기업부,68900,-1100,-1.57,70900,71100,68800,18165,1261200300,6275415,2.11,2024-06,3.22,2.7,3.07,3.55,3.44,3.36,-,45444,-,-,-,81.68,146.58,213.43,-,45444,-,-,-,4.44,2.38,1.59,-,45261,-,-,-,0,0,0,0,45261,0,0,0,0,0,0,-
954,자유소비재,215200,메가스터디교육,505472,904729,KOSDAQ GLOBAL,우량기업부,44350,-50,-0.11,45000,45450,44100,43079,1931210550,11461955,0.49,2024-06,2.09,0.54,0.84,1.44,3.29,4.33,7.78,45444,-,5.18,-,6.69,351.11,-,8.84,45444,-,8.54,-,25.18,1.18,-,0,45261,-,0,-,0,0,-,0,45261,0,0,0,0,0,0,-
1736,자유소비재,284740,쿠쿠홈시스,522790,1204917,KOSPI,-,23150,200,0.87,22950,23400,22900,32111,745381500,22437330,0.73,2024-06,0.61,0.57,0.54,0.55,0.67,0.72,7.61,45444,14.14,13.11,11.26,8.21,28.76,9.38,7.99,45444,4.28,3.64,3.94,5.66,1.89,6.24,51.7,45261,44.42,51.7,41.54,28.09,77.52,23.26,3.18,45261,2.6,3.18,2.97,2.76,2.17,1.92,-
434,자유소비재,381970,케이카,631667,540747,KOSPI,-,12930,-280,-2.12,13190,13190,12920,87495,1136802460,48182073,2.62,2024-06,2.88,3.3,1.84,2.63,3.81,2.83,19.51,45444,-,22.09,12.99,-,-,-,13.06,45444,-,14.63,14.45,-,-,-,26.12,45261,-,26.12,27.64,-,-,-,1.1,45261,1.29,1.1,1.98,1.38,0.9,1.06,-
775,자유소비재,383220,F&F,2355885,1926377,KOSPI,-,68500,-700,-1.01,69700,71800,68500,200942,14071702600,38307075,0.17,2024-06,0.9,0.22,1.37,1.28,1.05,0.57,-,45444,-,-,-,114.05,53.54,-,-,45444,-,-,-,1.13,2.04,-,-,45261,-,-,-,0,0,-,0,45261,0,0,0,0,0,0,-
450,정보기술,000660,SK하이닉스,136354843,105624349,KOSPI,-,174600,-9200,-5.01,183700,183800,174600,4859468,866892945285,728002365,0.61,2024-03,0.32,0.6,0.25,0.3,0.18,0.26,-,45352,-,-,21.74,80.29,32.98,56.34,-,45352,-,-,1.22,0.37,0.55,0.46,-,45078,-,-,24.67,70.29,47.84,58.1,0,45078,0.91,0,1.16,0.88,1.47,1.03,-
1147,정보기술,000990,DB하이텍,1716005,2175588,KOSPI,-,40300,-300,-0.74,40050,40900,39600,222645,8988546550,44398588,0.44,2024-06,0.54,0.47,0.54,0.54,0.66,0.5,9.04,45444,7.52,9.03,2.37,2.72,3.11,20.36,5,45444,15.88,5.17,25.53,22.49,23.72,2.49,36.86,45261,25.37,36.86,20.94,23.63,4.83,40.59,4.08,45261,5.05,4.08,8.84,8.7,1.62,1.99,-
877,정보기술,005930,삼성전자,353411127,485757698,KOSPI,-,61500,-2700,-4.21,64200,64300,61500,32694163,2043449921900,5969782550,0.23,2024-06,0.28,0.21,0.24,0.29,0.35,0.32,2.64,45444,7.64,2.59,5.3,2.91,13.12,14.28,9.01,45444,5.71,8.5,4.58,10.53,2.7,2.25,5.07,45261,10.99,5.07,9.99,4.71,15.8,19.36,1.96,45261,1.6,1.96,1.89,1.62,1.2,1.36,-
40,정보기술,007660,이수페타시스,2744895,658813,KOSPI,-,36550,-1350,-3.56,37300,37900,36550,983832,36422912150,63246419,1.13,2024-06,2.47,0.85,1.78,3.29,2.97,3.48,-,45444,-,-,-,-,-,-,-,45444,-,-,-,-,-,-,-,45261,-,-,-,-,-,-,0,45261,0,0,0,0,0,0,-
1013,정보기술,011070,LG이노텍,4584319,10490292,KOSPI,-,218000,-4500,-2.02,222500,223000,217500,158108,34657339500,23667107,0.51,2024-06,0.32,0.32,0.22,0.35,0.43,0.28,13.4,45444,7.72,10.58,13.97,3.72,4.96,5.36,3.84,45444,5.82,3.09,1.62,9.93,9.11,5.36,17.95,45261,19.79,17.95,35.16,14.49,14.93,16.4,1.7,45261,2.85,1.7,2.56,3.89,3.04,3.06,-
48,정보기술,022100,포스코DX,4158150,851985,KOSPI,-,30500,-1150,-3.63,31950,32250,30450,741438,23082170350,152034729,1.33,2024-06,1.64,1.45,1,2.3,2.2,1.27,-,45444,-,-,-,-,-,-,-,45444,-,-,-,-,-,-,-,45261,-,-,-,-,-,-,0,45261,0,0,0,0,0,0,-
366,정보기술,036930,주성엔지니어링,1304606,947866,KOSDAQ GLOBAL,우량기업부,26800,-250,-0.92,27100,27150,26400,208084,5567242500,47268321,0.16,2024-06,0.35,0.17,0.33,0.56,0.37,0.3,0.33,45444,-,1.95,2.58,2.7,11.6,-,53.08,45444,-,9.45,13.76,23.41,3.35,-,8.29,45261,-,8.29,11.47,6.79,28.73,-,6.83,45261,3.26,6.83,4.48,2.52,2.46,0,-
