순위,섹터,종목코드,종목명,시가총액(단위:백만원),자산총액(단위:백만원),시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장주식수,PBR,PBR 산출시점,최근 5개 사업연도 평균 PBR,`23 사업연도말 PBR,`22 사업연도말 PBR,`21 사업연도말 PBR,`20 사업연도말 PBR,`19 사업연도말 PBR,PER,PER 산출시점,최근 5개 사업연도 평균 PER,`23 사업연도말 PER,`22 사업연도말 PER,`21 사업연도말 PER,`20 사업연도말 PER,`19 사업연도말 PER,ROE,ROE 산출시점,최근 5개 사업연도 평균 ROE,`23 사업연도말 ROE,`22 사업연도말 ROE,`21 사업연도말 ROE,`20 사업연도말 ROE,`19 사업연도말 ROE,배당성향,배당성향 산출시점,최근 5개 사업연도 평균 배당성향,`23 사업연도말 배당성향,`22 사업연도말 배당성향,`21 사업연도말 배당성향,`20 사업연도말 배당성향,`19 사업연도말 배당성향,배당수익률,배당수익률 산출시점,최근 5개 사업연도 평균 배당수익률,`23 사업연도말 배당수익률,`22 사업연도말 배당수익률,`21 사업연도말 배당수익률,`20 사업연도말 배당수익률,`19 사업연도말 배당수익률,비고
1340,필수소비재,005300,롯데칠성,1122745,4331645,KOSPI,-,130000,-1900,-1.44,132200,132900,130000,11360,1486148900,9278884,0.44,2024-06,0.79,0.5,0.49,0.7,1.18,1.08,5.35,45444,58.23,6.07,241.93,23.82,8.12,11.24,8.56,45444,7.48,8.61,0.2,2.96,15.59,10.03,14.18,45261,142.9,14.18,633.69,43.3,8.89,14.46,2.36,45261,1.84,2.36,2.64,1.83,1.1,1.29,-
1562,필수소비재,007310,오뚜기,1613152,3585606,KOSPI,-,426500,-9000,-2.07,435000,437500,424000,4131,1772957000,4007830,0.75,2024-06,0.71,0.57,0.61,0.68,0.87,0.84,13.85,45444,8.03,10.72,9.13,5.6,7.21,7.5,5.26,45444,9.48,5.11,6.57,12.48,12.02,11.21,42.98,45261,27.6,42.98,34.7,20,20.16,20.17,3.86,45261,3.24,3.86,3.65,3.43,2.69,2.59,-
1117,필수소비재,026960,동서,1956114,1722593,KOSPI,-,19140,-100,-0.52,19260,19410,19120,83342,1601041890,99700000,0.35,2024-06,0.35,0.3,0.34,0.35,0.34,0.44,3.89,45444,5.75,3.5,4.11,1.86,14.24,5.03,9.08,45444,7.36,6.66,6.45,15.34,1.8,6.53,25.33,45352,45.3,33.29,37.15,17.56,105.12,33.35,7.19,45352,6.22,7.17,6.71,7.01,5.43,4.78,-
1208,필수소비재,033780,KT&G,13918443,13545550,KOSPI,-,108900,0,0,110400,111300,108200,357896,39301427200,130322497,0.45,2024-06,0.52,0.54,0.38,0.5,0.52,0.66,55.6,45444,-,-,9.79,11.12,31.63,-,0.8,45444,-,-,3.88,4.64,1.63,-,-,45261,-,-,30.37,26.59,76.06,-,3.48,45261,2.69,3.48,3.1,2.39,2.47,2.02,-
1005,필수소비재,200130,콜마비앤에이치,428879,707374,KOSDAQ GLOBAL,우량기업부,15050,-270,-1.76,15570,15590,14950,71764,1086819460,29415558,0.29,2024-06,0.33,0.25,0.24,0.48,0.35,0.35,3.8,45444,3.45,3.33,4.35,2.52,2.56,4.51,7.62,45444,11.03,7.4,5.39,20.28,14.23,7.85,28.6,45261,25,28.6,41.78,14.99,18.65,20.96,8.71,45261,7.36,8.71,9.74,5.73,8.13,4.46,-
1106,필수소비재,271560,오리온,3949660,3728494,KOSPI,-,97500,-2100,-2.11,99800,100000,97000,232815,22905130700,39536132,0.39,2024-06,0.73,0.5,0.75,0.9,0.72,0.76,22.89,45444,64.11,232.95,3.58,6.28,50.68,27.05,1.72,45444,8.67,0.22,23.51,15.41,1.42,2.83,110.14,45261,30.16,110.14,1.12,2.1,24.84,12.61,0.47,45261,0.42,0.47,0.31,0.33,0.49,0.47,-
799,필수소비재,282330,BGF리테일,1934069,3244502,KOSPI,-,114700,-2000,-1.71,118000,118000,114300,28069,3243359100,17283906,0.96,2024-06,1.27,1.06,0.98,1.34,1.95,1,12.61,45444,-,15.26,16.67,69.85,-,-,8.04,45444,-,7.19,5.99,1.93,-,-,0,45261,-,0,0,0,-,-,0,45261,0,0,0,0,0,0,-
468,헬스케어,001060,JW중외제약,682278,663894,KOSPI,-,27550,-1000,-3.5,28400,28500,27300,130907,3627857700,23285930,0.53,2024-06,0.48,0.55,0.46,0.57,0.44,0.4,10.05,45444,10.22,8.76,8.94,12.99,8.82,11.58,5.03,45444,4.59,5.97,4.87,4.08,4.8,3.22,34.06,45261,41.95,34.06,45.31,52.61,35.63,42.15,3.62,45261,3.86,3.62,4.72,3.64,3.92,3.38,-
624,헬스케어,068270,셀트리온,40886792,20127060,KOSPI,-,195400,600,0.31,195600,197400,192700,532256,104146879100,217021190,0.4,2024-06,0.45,0.4,0.43,0.46,0.4,0.56,8.35,45444,12.55,10.26,8.97,11.16,10.24,22.13,4.96,45444,3.9,3.93,4.83,4.23,3.98,2.55,52.69,45261,42.46,52.69,40.9,38.5,32.4,47.78,5.14,45261,4.47,5.14,4.56,4.08,4.92,3.65,-
867,헬스케어,086450,동국제약,808283,901400,KOSDAQ GLOBAL,우량기업부,16950,-40,-0.24,17150,17240,16940,105123,1790047710,44460000,0.2,2024-06,0.28,0.21,0.28,0.34,0.34,0.25,12.04,45444,-,-,-,16.91,39.63,37.01,1.67,45444,-,-,-,2.02,0.86,0.67,-,45261,-,-,-,13.19,31.45,57.2,0.54,45261,0.85,0.54,0.58,0.78,0.79,1.55,-
563,헬스케어,086900,메디톡스,1267019,613936,KOSDAQ,우량기업부,192400,5000,2.67,189200,192400,184800,59965,11368747600,7298497,1.63,2024-06,2.69,1.61,1.37,3.06,3.89,3.51,18.14,45444,19.64,18.79,10.56,21.73,29,18.1,9.3,45444,14.65,8.9,13.69,15.15,14.28,21.24,24.65,45261,16.43,24.65,17.61,18.05,13.2,8.65,1.31,45261,0.95,1.31,1.67,0.83,0.46,0.48,-
1363,헬스케어,096530,씨젠,1240367,1267642,KOSDAQ,우량기업부,24750,-1000,-3.88,26000,26050,24600,424477,10601868100,52225994,1.04,2024-06,2.03,1.38,1.62,2.57,2.47,2.14,28.36,45444,-,-,132.84,-,350.61,340.32,3.75,45444,-,-,1.23,-,0.71,0.63,-,45261,-,-,0,-,65.78,73.82,0,45261,0.08,0,0,0,0.19,0.22,-
348,헬스케어,128940,한미약품,4490252,1975727,KOSPI,-,321500,8000,2.55,313500,324500,313000,72408,23141363000,12810991,0.22,2024-06,0.24,0.28,0.21,0.21,0.25,0.24,4.7,45444,3.73,3.6,2.55,1.79,6.28,4.4,4.97,45444,7.84,8.38,8.41,12.69,4.16,5.58,13.21,45261,10.13,13.21,9.88,4.87,13.03,9.62,3.78,45261,2.93,3.78,3.83,2.75,2.11,2.19,-
657,헬스케어,145720,덴티움,852300,822427,KOSPI,-,81600,-2700,-3.2,85200,85200,81000,59413,4893148100,11068830,0.16,2024-06,0.38,0.22,0.27,0.55,0.44,0.43,0.87,45444,-,25.65,1.73,3.25,2.01,-,19.68,45444,-,0.79,16.72,17.18,22.33,-,88.61,45261,-,88.61,4.75,5.91,5.03,-,3.16,45261,2.5,3.16,2.51,1.66,2.29,2.85,-
914,헬스케어,185750,종근당,1484757,1468047,KOSPI,-,112400,-2000,-1.75,113700,114900,110900,32850,3695006900,13174420,0.39,2024-06,0.25,0.3,0.24,0.26,0.21,0.25,4.65,45444,3.36,3.51,2.86,2.25,4.08,4.09,8.91,45444,8.37,9.06,8.89,12.23,5.3,6.36,9.24,45261,7.65,9.24,8,5.28,8.8,6.92,2.67,45261,2.35,2.67,2.85,2.34,2.21,1.69,-
64,헬스케어,214150,클래시스,3935970,418525,KOSDAQ GLOBAL,우량기업부,54100,-1900,-3.39,56600,56700,53900,118194,6452934600,63999519,0.28,2024-06,0.75,0.42,0.39,0.86,1.09,1.01,-,45444,-,-,-,-,-,-,-,45444,-,-,-,-,-,-,-,45261,-,-,-,-,-,-,0,45261,0,0,0,0,0,0,-
194,헬스케어,214370,케어젠,921212,242318,KOSDAQ,벤처기업부,19350,110,0.57,19430,19430,19060,55472,1069867650,53715000,0.71,2024-06,0.95,0.75,0.78,1.03,1.11,1.1,9.81,45444,18.34,9.61,6.72,13.7,17,44.67,7.43,45444,7.41,7.98,12.08,7.85,6.7,2.47,42.5,45261,46.09,42.5,26.62,39.34,35.41,86.59,4.42,45261,3.05,4.42,3.96,2.86,2.08,1.94,-
357,헬스케어,214450,파마리서치,2375363,601474,KOSDAQ GLOBAL,우량기업부,192700,200,0.1,192600,196200,187400,142971,27398634000,10464152,0.72,2024-06,0.85,0.72,0.81,0.67,1.18,0.87,-,45444,39.92,22.88,124.65,15.9,17.64,18.51,-,45444,3.96,3.18,0.65,4.32,6.91,4.75,18.22,45261,31.8,18.22,89.81,21.85,12.6,16.53,0.8,45261,0.9,0.8,0.72,1.37,0.71,0.89,-
275,헬스케어,290650,엘앤씨바이오,424207,257964,KOSDAQ,우량기업부,20550,700,3.53,20050,20600,19860,94925,1921206490,22684891,0.94,2024-06,1.04,0.97,1.03,0.96,1.07,1.18,11.25,45444,45.73,12.73,166.49,16.97,15.23,17.22,8.48,45444,5.6,7.7,0.62,5.75,7,6.94,44.95,45261,155.07,44.95,567.82,62.09,52.26,48.2,3.53,45261,3.37,3.53,3.41,3.66,3.44,2.8,-
